anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
yes,171,Rock'n'Roll-Beginners,Final,3,293,FM,2.05,2.0,1.025,"[6.5, 2.5, 2.5, 7.5, 5.0, 2.5]"
,171,Rock'n'Roll-Beginners,Final,3,293,FW,5.0,14.4,0.3472222222222222,"[-25.0, -35.0, -35.0, -25.0, -35.0, -25.0]"
,171,Rock'n'Roll-Beginners,Final,3,293,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,3,293,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,4,114,DF,1.25,2.3,0.5434782608695653,"[12.5, 8.75, 8.75, 10.0, 10.0, 10.0]"
,171,Rock'n'Roll-Beginners,Final,4,114,CO,1.29,2.0,0.645,"[10.0, 6.0, 7.0, 9.0, 8.0, 8.0]"
,171,Rock'n'Roll-Beginners,Final,4,114,FM,0.71,2.0,0.355,"[6.5, 5.0, 5.0, 6.5, 5.0, 5.0]"
,171,Rock'n'Roll-Beginners,Final,4,114,FW,7.07,14.4,0.49097222222222225,"[-35.0, -50.0, -35.0, -35.0, -50.0, -35.0]"
,171,Rock'n'Roll-Beginners,Final,4,114,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,4,114,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,5,289,DF,2.13,2.3,0.9260869565217391,"[13.75, 7.5, 12.5, 11.25, 10.0, 8.75]"
,171,Rock'n'Roll-Beginners,Final,5,289,CO,1.34,2.0,0.67,"[10.0, 7.0, 8.0, 9.0, 9.0, 6.0]"
,171,Rock'n'Roll-Beginners,Final,5,289,FM,1.63,2.0,0.815,"[6.5, 2.5, 6.5, 7.5, 5.0, 6.5]"
,171,Rock'n'Roll-Beginners,Final,5,289,FW,10.27,14.4,0.7131944444444444,"[-25.0, -50.0, -25.0, -35.0, -35.0, -50.0]"
,171,Rock'n'Roll-Beginners,Final,5,289,sm,0.94,2.3,0.40869565217391307,"[0.0, 0.0, -2.0, 0.0, 0.0, -2.0]"
,171,Rock'n'Roll-Beginners,Final,5,289,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,6,290,DF,1.33,2.3,0.5782608695652175,"[11.25, 7.5, 10.0, 7.5, 8.75, 8.75]"
,171,Rock'n'Roll-Beginners,Final,6,290,CO,1.63,2.0,0.815,"[8.0, 6.0, 10.0, 8.0, 10.0, 6.0]"
,171,Rock'n'Roll-Beginners,Final,6,290,FM,0.71,2.0,0.355,"[6.5, 5.0, 6.5, 5.0, 5.0, 5.0]"
yes,171,Rock'n'Roll-Beginners,Final,6,290,FW,18.63,14.4,1.29375,"[-35.0, -75.0, -25.0, -50.0, -50.0, -75.0]"
,171,Rock'n'Roll-Beginners,Final,6,290,sm,1.15,2.3,0.5,"[0.0, -2.0, -2.0, -2.0, -4.0, -2.0]"
,171,Rock'n'Roll-Beginners,Final,6,290,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,1,218,DF,1.18,2.3,0.5130434782608696,"[8.75, 6.25, 8.75, 10.0, 8.75, 7.5]"
,171,Rock'n'Roll-Beginners,Hope round,1,218,CO,1.25,2.0,0.625,"[8.0, 6.0, 6.0, 8.0, 5.0, 5.0]"
,171,Rock'n'Roll-Beginners,Hope round,1,218,FM,1.58,2.0,0.79,"[5.0, 2.5, 6.5, 5.0, 2.5, 2.5]"
yes,171,Rock'n'Roll-Beginners,Hope round,1,218,FW,14.43,14.4,1.0020833333333332,"[-50.0, -75.0, -25.0, -50.0, -50.0, -50.0]"
,171,Rock'n'Roll-Beginners,Hope round,1,218,sm,1.49,2.3,0.6478260869565218,"[0.0, 0.0, -2.0, -2.0, -4.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,1,218,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,1,350,DF,1.68,2.3,0.7304347826086957,"[11.25, 7.5, 12.5, 8.75, 10.0, 8.75]"
,171,Rock'n'Roll-Beginners,Hope round,1,350,CO,1.61,2.0,0.805,"[9.0, 6.0, 9.0, 9.0, 5.0, 7.0]"
,171,Rock'n'Roll-Beginners,Hope round,1,350,FM,1.46,2.0,0.73,"[5.0, 2.5, 6.5, 5.0, 5.0, 2.5]"
,171,Rock'n'Roll-Beginners,Hope round,1,350,FW,9.86,14.4,0.6847222222222221,"[-35.0, -50.0, -25.0, -50.0, -50.0, -50.0]"
,171,Rock'n'Roll-Beginners,Hope round,1,350,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,1,350,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,2,277,DF,1.61,2.3,0.7000000000000001,"[10.0, 5.0, 7.5, 8.75, 6.25, 7.5]"
,171,Rock'n'Roll-Beginners,Hope round,2,277,CO,1.38,2.0,0.69,"[8.0, 6.0, 6.0, 8.0, 7.0, 4.0]"
