anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,164,Rock'n'Roll-Beginners,Final,1,114,sm,0.75,2.3,0.32608695652173914,"[0.0, -2.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,1,114,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,2,289,DF,1.68,2.3,0.7304347826086957,"[7.5, 11.25, 11.25, 12.5, 12.5, 11.25]"
,164,Rock'n'Roll-Beginners,Final,2,289,CO,1.53,2.0,0.765,"[7.0, 7.0, 10.0, 9.0, 11.0, 10.0]"
,164,Rock'n'Roll-Beginners,Final,2,289,FM,0.84,2.0,0.42,"[6.5, 5.0, 6.5, 7.5, 6.5, 7.5]"
,164,Rock'n'Roll-Beginners,Final,2,289,FW,7.5,14.4,0.5208333333333334,"[-35.0, -35.0, -50.0, -35.0, -50.0, -50.0]"
,164,Rock'n'Roll-Beginners,Final,2,289,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,2,289,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,3,293,DF,0.93,2.3,0.4043478260869566,"[11.25, 11.25, 11.25, 11.25, 11.25, 13.75]"
,164,Rock'n'Roll-Beginners,Final,3,293,CO,0.69,2.0,0.345,"[8.0, 7.0, 9.0, 8.0, 8.0, 9.0]"
,164,Rock'n'Roll-Beginners,Final,3,293,FM,1.46,2.0,0.73,"[5.0, 2.5, 6.5, 5.0, 2.5, 5.0]"
,164,Rock'n'Roll-Beginners,Final,3,293,FW,7.45,14.4,0.5173611111111112,"[-35.0, -35.0, -25.0, -25.0, -35.0, -15.0]"
,164,Rock'n'Roll-Beginners,Final,3,293,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,3,293,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,4,279,DF,1.38,2.3,0.6,"[7.5, 8.75, 8.75, 10.0, 6.25, 6.25]"
,164,Rock'n'Roll-Beginners,Final,4,279,CO,1.7,2.0,0.85,"[5.0, 6.0, 9.0, 8.0, 6.0, 4.0]"
,164,Rock'n'Roll-Beginners,Final,4,279,FM,1.18,2.0,0.59,"[5.0, 2.5, 5.0, 5.0, 5.0, 6.5]"
yes,164,Rock'n'Roll-Beginners,Final,4,279,FW,15.81,14.4,1.0979166666666667,"[-75.0, -50.0, -50.0, -35.0, -75.0, -75.0]"
,164,Rock'n'Roll-Beginners,Final,4,279,sm,0.94,2.3,0.40869565217391307,"[0.0, -2.0, -2.0, -2.0, -2.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,4,279,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,5,350,DF,0.93,2.3,0.4043478260869566,"[10.0, 8.75, 7.5, 10.0, 8.75, 10.0]"
,164,Rock'n'Roll-Beginners,Final,5,350,CO,1.11,2.0,0.555,"[6.0, 6.0, 8.0, 9.0, 7.0, 8.0]"
,164,Rock'n'Roll-Beginners,Final,5,350,FM,0.93,2.0,0.465,"[5.0, 2.5, 5.0, 5.0, 5.0, 5.0]"
,164,Rock'n'Roll-Beginners,Final,5,350,FW,5.59,14.4,0.3881944444444444,"[-50.0, -50.0, -50.0, -35.0, -50.0, -50.0]"
,164,Rock'n'Roll-Beginners,Final,5,350,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,5,350,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,6,290,DF,1.18,2.3,0.5130434782608696,"[7.5, 7.5, 10.0, 10.0, 7.5, 7.5]"
,164,Rock'n'Roll-Beginners,Final,6,290,CO,1.07,2.0,0.535,"[6.0, 7.0, 9.0, 8.0, 7.0, 6.0]"
,164,Rock'n'Roll-Beginners,Final,6,290,FM,1.18,2.0,0.59,"[5.0, 2.5, 5.0, 5.0, 2.5, 5.0]"
yes,164,Rock'n'Roll-Beginners,Final,6,290,FW,14.55,14.4,1.0104166666666667,"[-50.0, -75.0, -50.0, -35.0, -75.0, -50.0]"
,164,Rock'n'Roll-Beginners,Final,6,290,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, 0.0, -2.0, 0.0]"
,164,Rock'n'Roll-Beginners,Final,6,290,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Hope round,1,279,DF,1.72,2.3,0.7478260869565218,"[7.5, 7.5, 5.0, 10.0, 7.5, 5.0]"
yes,164,Rock'n'Roll-Beginners,Hope round,1,279,CO,2.24,2.0,1.12,"[7.0, 8.0, 8.0, 7.0, 4.0, 2.0]"
,164,Rock'n'Roll-Beginners,Hope round,1,279,FM,1.18,2.0,0.59,"[5.0, 6.5, 5.0, 5.0, 5.0, 2.5]"
,164,Rock'n'Roll-Beginners,Hope round,1,279,FW,5.59,14.4,0.3881944444444444,"[-50.0, -50.0, -50.0, -35.0, -50.0, -50.0]"
,164,Rock'n'Roll-Beginners,Hope round,1,279,sm,1.15,2.3,0.5,"[0.0, -2.0, -2.0, -2.0, -2.0, -4.0]"
,164,Rock'n'Roll-Beginners,Hope round,1,279,bm,3.73,8.0,0.46625,"[-10.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Hope round,1,290,DF,1.91,2.3,0.8304347826086956,"[8.75, 8.75, 8.75, 11.25, 10.0, 5.0]"
,164,Rock'n'Roll-Beginners,Hope round,1,290,CO,1.15,2.0,0.575,"[8.0, 6.0, 8.0, 8.0, 7.0, 5.0]"
,164,Rock'n'Roll-Beginners,Hope round,1,290,FM,1.18,2.0,0.59,"[2.5, 2.5, 5.0, 5.0, 5.0, 5.0]"
yes,164,Rock'n'Roll-Beginners,Hope round,1,290,FW,14.55,14.4,1.0104166666666667,"[-75.0, -50.0, -50.0, -35.0, -50.0, -75.0]"
,164,Rock'n'Roll-Beginners,Hope round,1,290,sm,1.0,2.3,0.4347826086956522,"[-2.0, 0.0, 0.0, -2.0, 0.0, -2.0]"
,164,Rock'n'Roll-Beginners,Hope round,1,290,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
